date,fill_time,temperature_c,side,model_prob,market_price,ev,kelly_frac,won,pnl_per_dollar,predicted_high,actual_max,winning_temp,resolution,stake,pnl,bankroll_after
2026-03-17,10:10,16,No,0.7024009224766548,0.61,0.15147692209287666,0.023692544224783275,True,0.639344262295082,16.31,17.0,17,wunderground,23.692544224783276,15.14769220928767,1015.1476922092877
2026-03-18,10:10,14,No,0.835220485021929,0.72,0.16002845141934596,0.04115017322211752,False,-1.0,15.32,14.0,14,wunderground,41.77350338044503,-41.77350338044503,986.9763209988981
2026-03-18,13:00,15,No,0.7030748275364815,0.62,0.13399165731690577,0.021861796720126725,True,0.6129032258064517,15.32,14.0,14,wunderground,22.19295248798522,13.60213217005546,986.9763209988981
2026-03-19,10:40,17,No,0.8445041269359242,0.75,0.12600550258123233,0.0378016507743697,True,0.33333333333333326,18.38,17.0,18,wunderground,37.30933420897256,12.436444736324184,999.4127657352224
2026-03-22,10:10,13,No,0.7293547029267955,0.61,0.1956634474209762,0.030603769981229618,False,-1.0,12.4,13.0,13,wunderground,30.585798398865265,-30.585798398865265,987.3260048223641
2026-03-22,11:10,14,No,0.8769733128190995,0.74,0.18509907137716142,0.05268204339196136,True,0.3513513513513513,12.4,13.0,13,wunderground,52.651106690943095,18.499037486007033,987.3260048223641
2026-03-23,11:00,17,No,0.7044818471359366,0.59,0.19403702904396058,0.02792240174047236,True,0.6949152542372883,16.66,16.0,16,wunderground,27.5685133554656,19.157780467357455,1006.4837852897216
2026-03-24,10:00,18,No,0.7270477207747663,0.61,0.19188150946683002,0.030012236096093933,True,0.639344262295082,18.58,17.0,17,wunderground,30.206828991005438,19.312562797528066,972.0611340684202
2026-03-24,12:10,17,No,0.8741504373655418,0.73,0.19746635255553668,0.05338905087612659,False,-1.0,18.58,17.0,17,wunderground,53.73521401882942,-53.73521401882942,972.0611340684202
2026-03-25,10:00,18,No,0.7194528509210214,0.63,0.14198865225558954,0.02417644619487065,True,0.5873015873015872,18.51,17.0,17,wunderground,23.500983705930107,13.80216503364149,985.8632991020617
2026-03-26,10:10,14,No,0.7341395214992745,0.65,0.12944541769119144,0.024039863285507005,False,-1.0,14.64,14.0,14,wunderground,23.70001892861246,-23.70001892861246,962.1632801734492
2026-03-27,10:00,16,No,0.7927292976338625,0.68,0.16577837887332714,0.03522790551058201,False,-1.0,14.95,16.0,16,wunderground,33.89499711970191,-33.89499711970191,941.2346981034775
2026-03-27,10:20,15,No,0.6922055189937161,0.61,0.13476314589133787,0.021078338203516945,True,0.639344262295082,14.95,16.0,16,wunderground,20.28080302650119,12.96641504973027,941.2346981034775
2026-03-29,10:20,18,No,0.7682897100321422,0.65,0.18198416928021866,0.03379706000918348,False,-1.0,17.11,18.0,18,wunderground,31.81096557452892,-31.81096557452892,909.4237325289486
2026-03-30,10:00,18,No,0.6954999948228019,0.61,0.1401639259390195,0.02192307559559023,True,0.639344262295082,17.82,19.0,19,wunderground,19.937365236655967,12.746840069337424,894.1459501847933
2026-03-30,10:10,19,No,0.8132026675904037,0.73,0.11397625697315572,0.030815802811260642,False,-1.0,17.82,19.0,19,wunderground,28.024622413492718,-28.024622413492718,894.1459501847933
2026-04-01,10:00,17,No,0.800573000262056,0.7,0.14367571466008,0.03352433342068535,True,0.4285714285714286,15.9,16.0,16,wunderground,29.975646960750524,12.846705840321654,882.9283688535085
2026-04-01,10:10,16,No,0.6930352445256379,0.58,0.19488835263041038,0.026913153458485224,False,-1.0,15.9,16.0,16,wunderground,24.064287171606427,-24.064287171606427,882.9283688535085
2026-04-07,10:10,25,No,0.8068813112038749,0.68,0.18659016353510993,0.03965040975121088,False,-1.0,23.86,25.0,25,wunderground,35.00847160600987,-35.00847160600987,847.9198972474986
2026-04-12,13:00,18,No,0.7942930308206576,0.72,0.10318476502869123,0.026533225293092013,False,-1.0,19.06,18.0,18,wunderground,22.49804966416331,-22.49804966416331,851.72154729665
2026-04-12,10:00,20,No,0.7757816598721902,0.65,0.19351024595721555,0.035937617106340046,True,0.5384615384615383,19.06,18.0,18,wunderground,30.472220604127802,16.408118786838042,851.72154729665
2026-04-12,10:30,19,No,0.6923273530238369,0.62,0.11665702100618858,0.01903351395364128,True,0.6129032258064517,19.06,18.0,18,wunderground,16.138895195830344,9.891580926476664,851.72154729665
2026-04-17,10:00,24,No,0.7184316914344111,0.61,0.17775687120395256,0.02780299780369516,False,-1.0,23.5,23.0,24,wunderground,23.680412308848602,-23.680412308848602,837.0080190051311
2026-04-17,11:10,23,No,0.7184316914344111,0.65,0.10527952528370932,0.019551911838403168,True,0.5384615384615383,23.5,23.0,24,wunderground,16.652784603612435,8.96688401732977,837.0080190051311
2026-04-18,10:10,25,No,0.7456684222361293,0.63,0.18360067021607818,0.0312617357394944,False,-1.0,24.27,25.0,25,wunderground,26.166323501976116,-26.166323501976116,826.4335876043082
